@relation microarray.txt

@attribute Score numeric
@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute totalGC numeric
@attribute totalAU numeric
@attribute seedGC numeric
@attribute seedAT numeric
@attribute seedGU numeric
@attribute Pos_2 numeric
@attribute Pos_4 numeric
@attribute Pos_6 numeric
@attribute Pos_7 numeric
@attribute Class {Target,Non-Target}

@data
141,-28.4,-20.5,6,7,4,2,1,1,1,3,2,Target
140,-26,-20.5,6,7,4,2,1,1,1,3,2,Target
146,-23,-20.1,5,8,4,3,0,2,1,1,1,Target
170,-29.2,-20.1,8,8,4,3,0,2,1,1,1,Target
141,-25.11,-20.1,7,5,4,3,0,2,1,1,1,Target
143,-23.4,-15.7,5,8,4,2,0,5,1,1,1,Target
151,-25.3,-20.1,5,9,4,3,0,2,1,1,1,Target
170,-26.4,-20.1,7,9,4,3,0,2,1,1,1,Target
142,-24.8,-20.1,7,5,4,3,0,2,1,1,1,Target
151,-24,-20.1,5,9,4,3,0,2,1,1,1,Target
145,-23.8,-15.7,6,7,4,2,0,5,1,1,1,Target
177,-33,-20.1,6,10,4,3,0,2,1,1,1,Target
147,-22.5,-20.1,5,7,4,3,0,2,1,1,1,Target
178,-31.8,-20.1,8,9,4,3,0,2,1,1,1,Target
141,-24.3,-20.1,7,5,4,3,0,2,1,1,1,Target
167,-20.9,-20.1,5,9,4,3,0,2,1,1,1,Target
159,-27.1,-20.1,5,9,4,3,0,2,1,1,1,Target
158,-22.6,-20.1,5,7,4,3,0,2,1,1,1,Target
153,-26.3,-18,6,9,3,3,1,2,1,1,1,Target
142,-20,-20.1,5,4,4,3,0,2,1,1,1,Target
142,-19.7,-18,5,7,3,3,1,2,1,1,1,Target
140,-16.3,-16.9,4,5,3,4,0,2,2,2,1,Target
149,-23.57,-20.1,5,9,4,3,0,2,1,1,1,Target
162,-30.1,-20.1,8,6,4,3,0,2,1,1,1,Target
158,-28,-20.1,7,6,4,3,0,2,1,1,1,Target
155,-28.2,-15.7,7,7,4,2,0,5,1,1,1,Target
155,-24.5,-20.1,5,9,4,3,0,2,1,1,1,Target
150,-25.1,-20.1,7,5,4,3,0,2,1,1,1,Target
149,-25.26,-20.1,5,9,4,3,0,2,1,1,1,Target
149,-26,-20.1,5,9,4,3,0,2,1,1,1,Target
146,-20.2,-20.1,4,4,4,3,0,2,1,1,1,Target
146,-22.04,-20.1,6,5,4,3,0,2,1,1,1,Target
144,-26.8,-20.1,7,4,4,3,0,2,1,1,1,Target
143,-24.5,-20.1,7,5,4,3,0,2,1,1,1,Target
143,-26.6,-20.1,6,5,4,3,0,2,1,1,1,Target
141,-22.3,-20.1,5,3,4,3,0,2,1,1,1,Target
140,-23.62,-20.1,7,4,4,3,0,2,1,1,1,Target
140,-18.7,-20.1,6,3,4,3,0,2,1,1,1,Target
140,-21.12,-20.1,6,3,4,3,0,2,1,1,1,Target
143,-25.2,-20.1,5,7,4,3,0,2,1,1,1,Target
141,-22.6,-20.1,4,3,4,3,0,2,1,1,1,Target
154,-28,-20.1,5,10,4,3,0,2,1,1,1,Target
162,-34,-20.1,7,7,4,3,0,2,1,1,1,Target
154,-26.1,-20.1,5,8,4,3,0,2,1,1,1,Target
153,-24.3,-20.1,5,7,4,3,0,2,1,1,1,Target
152,-29,-20.1,6,5,4,3,0,2,1,1,1,Target
151,-30.3,-20.1,6,5,4,3,0,2,1,1,1,Target
151,-24,-20.1,6,5,4,3,0,2,1,1,1,Target
150,-23,-20.1,6,5,4,3,0,2,1,1,1,Target
150,-27.7,-20.1,6,8,4,3,0,2,1,1,1,Target
149,-26.8,-20.1,7,5,4,3,0,2,1,1,1,Target
